BJD - 2454833, Corrected Flux
2146.452767392, 0.990595413,
2146.473199716, 0.991284112,
2146.514064064, 0.992357660,
2146.534496386, 0.991172285,
2146.554928509, 0.989755247,
2146.575360731, 0.991845945,
2146.595793052, 0.990208226,
2146.616225172, 0.989426719,
2146.657089612, 0.991307893,
2146.677521831, 0.990456410,
2146.697954150, 0.989524789,
2146.718386268, 0.989504314,
2146.738818485, 0.990025272,
2146.759250802, 0.990070281,
2146.779683019, 0.987058868,
2146.800115134, 0.986743385,
2146.820547450, 0.990059187,
2146.840979664, 0.986797200,
2146.861411779, 0.987525624,
2146.881844093, 0.988866895,
2146.902276306, 0.984968851,
2146.922708418, 0.985231935,
2146.943140731, 0.993051062,
2146.963572943, 0.989215137,
2146.984005053, 0.985732220,
2147.004437364, 0.988715784,
2147.024869574, 0.985467471,
2147.045301684, 0.987482547,
2147.065733993, 0.986538565,
2147.086166201, 0.985454814,
2147.106598409, 0.988323767,
2147.127030617, 0.986117301,
2147.147462824, 0.985677704,
2147.167895130, 0.985139354,
2147.188327236, 0.985113758,
2147.208759441, 0.987814526,
2147.229191746, 0.985815873,
2147.249623950, 0.989976223,
2147.270056054, 0.988862767,
2147.290488357, 0.984122747,
2147.310920560, 0.984814004,
2147.331352662, 0.986854619,
2147.351784964, 0.983843060,
2147.372217065, 0.985635754,
2147.392649266, 0.981786238,
2147.413081565, 0.979362917,
2147.433513665, 0.984425347,
2147.453945864, 0.984083894,
2147.494810261, 0.985727517,
2147.515242458, 0.983666300,
2147.535674755, 0.984664316,
2147.556106851, 0.986156773,
2147.596971343, 0.985178146,
2147.617403537, 0.984431782,
2147.637835631, 0.983361849,
2147.658267925, 0.985891072,
2147.678700119, 0.981512926,
2147.699132311, 0.984152422,
2147.719564503, 0.984857195,
2147.739996695, 0.983262590,
2147.760428986, 0.982647860,
2147.780861077, 0.982793381,
2147.801293267, 0.983462631,
2147.821725557, 0.982321680,
2147.842157646, 0.984839247,
2147.862589834, 0.985168729,
2147.883022122, 0.984195851,
2147.903454210, 0.984313016,
2147.923886397, 0.985201016,
2147.944318683, 0.983861327,
2147.985182954, 0.981732649,
2148.005615240, 0.983636616,
2148.026047324, 0.985920498,
2148.046479508, 0.983358961,
2148.066911791, 0.984697060,
2148.087343974, 0.983174494,
2148.107776056, 0.982054574,
2148.128208338, 0.984963844,
2148.148640419, 0.981800397,
2148.169072600, 0.982285799,
2148.189504880, 0.984310504,
2148.209936960, 0.983625478,
2148.230369139, 0.982633908,
2148.250801418, 0.985025217,
2148.271233496, 0.983494469,
2148.291665774, 0.982481892,
2148.312097951, 0.985850996,
2148.332530028, 0.983805311,
2148.352962304, 0.983412452,
2148.373394479, 0.983839310,
2148.393826554, 0.982436684,
2148.414258828, 0.985157058,
2148.434691003, 0.983968290,
2148.475555349, 0.983543176,
2148.495987522, 0.984176317,
2148.516419694, 0.986404995,
2148.536851865, 0.985406247,
2148.557284036, 0.985282384,
2148.577716206, 0.984406061,
2148.598148476, 0.988083999,
2148.618580546, 0.982410530,
2148.639012714, 0.984213895,
2148.659444983, 0.980863715,
2148.679877050, 0.983360286,
2148.720741485, 0.984595007,
2148.741173551, 0.984481486,
2148.761605717, 0.981820214,
2148.782037982, 0.986521789,
2148.802470046, 0.981693825,
2148.822902211, 0.982379322,
2148.843334475, 0.983786457,
2148.863766538, 0.981625856,
2148.884198800, 0.986331863,
2148.904630863, 0.982225602,
2148.925063024, 0.980763156,
2148.945495285, 0.983214273,
2148.986359506, 0.982870134,
2149.006791765, 0.983234677,
2149.027223925, 0.984989487,
2149.047655983, 0.981164070,
2149.068088241, 0.981894986,
2149.088520399, 0.983260129,
2149.108952456, 0.983043153,
2149.129384712, 0.981985269,
2149.149816868, 0.984159657,
2149.170248924, 0.983240995,
2149.190681179, 0.982270455,
2149.211113333, 0.983455424,
2149.231545387, 0.984131408,
2149.251977640, 0.983118256,
2149.272409794, 0.980940010,
2149.292841946, 0.982855498,
2149.313274098, 0.984400630,
2149.333706249, 0.983922062,
2149.354138400, 0.983607151,
2149.374570550, 0.983069504,
2149.395002700, 0.982683872,
2149.415434850, 0.982461860,
2149.456299147, 0.982555913,
2149.476731395, 0.980971726,
2149.497163542, 0.989461973,
2149.517595589, 0.983812939,
2149.538027835, 0.984444181,
2149.558459981, 0.984916220,
2149.578892026, 0.982888202,
2149.599324271, 0.982882933,
2149.619756315, 0.982470773,
2149.640188459, 0.983203839,
2149.660620702, 0.983581582,
2149.681052745, 0.983822990,
2149.701484887, 0.983121970,
2149.721917129, 0.982481272,
2149.742349170, 0.983413691,
2149.762781311, 0.978767142,
2149.783213551, 0.983587350,
2149.803645591, 0.984009758,
2149.824077730, 0.983203013,
2149.844509969, 0.978637938,
2149.864942107, 0.984478072,
2149.885374144, 0.982314183,
2149.905806382, 0.981879691,
2149.946670555, 0.985425403,
2149.967102790, 0.986063620,
2149.987534926, 0.984242163,
2150.007966960, 0.982841594,
2150.028399194, 0.980382850,
2150.048831328, 0.981925719,
2150.069263561, 0.980884257,
2150.089695594, 0.981693477,
2150.110127726, 0.982385076,
2150.130559957, 0.984372508,
2150.150991989, 0.983325133,
2150.171424119, 0.983768286,
2150.191856349, 0.986634186,
2150.212288379, 0.980832695,
2150.232720508, 0.981948984,
2150.253152736, 0.984651365,
2150.273584864, 0.981815495,
2150.294016892, 0.981469577,
2150.314449119, 0.983102424,
2150.334881246, 0.982554286,
2150.355313272, 0.981974157,
2150.375745498, 0.983782388,
2150.396177522, 0.984206971,
2150.416609647, 0.984567550,
2150.437041871, 0.980857122,
2150.457473895, 0.983959313,
2150.477906018, 0.984456536,
2150.498338240, 0.982790777,
2150.518770263, 0.983474853,
2150.539202384, 0.983413199,
2150.559634605, 0.981153987,
2150.580066626, 0.983939546,
2150.600498746, 0.982791706,
2150.620930965, 0.984953160,
2150.641362984, 0.979722310,
2150.682227321, 0.982299437,
2150.702659439, 0.982185720,
2150.723091556, 0.983042653,
2150.743523672, 0.981750247,
2150.763955788, 0.980906507,
2150.784388004, 0.981922054,
2150.804820019, 0.980923112,
2150.825252133, 0.984403698,
